"Package ID",Address,City,State,Zip,"Delivery Deadline","Mass KILO",page 1 of 1PageSpecial Notes
1,195 W Oakland Ave,Salt Lake City,UT,84115,10:30 AM,21
2,2530 S 500 E,Salt Lake City,UT,84106,EOD,44
4,380 W 2880 S,Salt Lake City,UT,84115,EOD,4
5,410 S State St,Salt Lake City,UT,84111,EOD,5
7,1330 2100 S,Salt Lake City,UT,84106,EOD,8
13,2010 W 500 S,Salt Lake City,UT,84104,10:30 AM,2
14,4300 S 1300 E,Millcreek,UT,84117,10:30 AM,88,"Must be delivered with 15, 19"
15,4580 S 2300 E,Holladay,UT,84117,9:00 AM,4
16,4580 S 2300 E,Holladay,UT,84117,10:30 AM,88,"Must be delivered with 13, 19"
19,177 W Price Ave,Salt Lake City,UT,84115,EOD,37
20,3595 Main St,Salt Lake City,UT,84115,10:30 AM,37,"Must be delivered with 13, 15"
